Sl No,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
604,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,Parliament,1,0,1,0
605,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,Other Elected Bodies,1,0,0,1
606,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),6506,1039,595,676
607,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1964,Street Gambling (87),7365,487,499,463
608,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1965,House Gambling (79 & 80),262,20,17,23
609,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1966,Betting ,601,16,5,12
610,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1967,Others ,523,22,51,47
611,B - SPECIAL & LOCAL LAWS,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,NA,130,9,3,14
612,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",NA,1,0,1,0
613,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Official Secrets Act 1923,2,0,1,0
614,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Essential Services Maintenance Act 1981,0,0,0,0
615,B - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),NA,0,0,0,0
616,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Indian Railways Act 1989,6,0,2,2
617,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
618,B - SPECIAL & LOCAL LAWS,UNLAWFUL ACTIVITIES (Prevention) Act 1967,NA,1,0,0,0
619,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Dowry Prohibition,2028,159,173,162
620,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,0,0,0,0
621,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,1,0,0,0
622,B - SPECIAL & LOCAL LAWS,INDIAN LUNACY ACT,NA,0,0,0,0
623,B - SPECIAL & LOCAL LAWS,INDIAN ELECTRICITY ACT,NA,12,1,1,0
624,B - SPECIAL & LOCAL LAWS,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",NA,3178,208,112,212
625,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Prevention of Insult to National Hounours Act 1971,11,0,1,1
626,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Prevention of violence against Doctors, Medical professionals and Medical institutions",13,2,1,1
627,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",1,0,0,0
628,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Cow Slaughters Act,213,14,12,16
629,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Banning of Unregulated Deposit Schemes Act,23,2,4,2
630,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Motor Spirit and High Speed Diesel (Regulation of upply, Distribution and Prevention of Malpractice",0,0,0,0
631,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Epidemic Deseases Act 2020,0,0,0,0
632,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,253,26,25,22
633,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Disaster Management Act 2005,0,0,0,0
634,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act 1965,10089,1499,770,845
635,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act 1963,74,8,12,9
636,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Education Act 1983 As Amended Upto Date,2,0,0,0
637,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Restriction Unuse Act 1956,0,0,0,0
638,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka University Act,0,0,0,0
639,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Corruption Act,0,0,0,0
640,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Medical Registration Act 1965,4,0,0,0
641,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land & Revenue Act 1964 & 2007,38,3,0,4
642,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Dealers License Order 1969,0,0,0,0
643,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Society Registration Act,0,0,0,0
644,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Minor Mineral Consistent Rule 1994,22,2,1,3
645,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Bangalore Development Authority Act,0,0,0,0
646,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Beggery Act 1975,63,0,5,1
647,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act 1964,1,0,0,0
648,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Irrigation Act 1963,4,0,0,0
649,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Fire Force act 1964,5,0,0,1
650,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Consumer Protection Act 1986,0,0,0,0
651,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Lottery Act,71,1,7,7
652,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0,0,0,0
653,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,0,0,0,0
654,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,1,0,0,0
655,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,2,0,0,0
656,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Betting Tax Act,0,0,0,0
657,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Panchayat Raj Act,1,0,0,0
658,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Open Place Disfigurement Act 1951,719,8,94,26
659,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Right To Information Act 2000 & 2008,1,0,0,0
660,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Urban Development Act 1987,0,0,0,0
661,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Town & City Planning Act 1961,0,0,0,0
662,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Race Betting Act,0,0,0,0
663,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,0,0,0,0
664,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Cooperative Society Act,1,0,0,0
665,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainment Tax Act 1958,7,0,0,2
666,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land Acquisition (Prohibition) Act 2007,0,0,0,0
667,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Money Lender Act 1961,18,2,0,2
668,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Stamp Act 1957,0,0,0,0
669,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prisoners Act 1963 & 1974,93,11,12,37
670,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Private Medical Institution Act 2007,9,2,1,0
671,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,MMRD (Mines & Minerals Regulation Development ) Act 1957,86,5,6,5
672,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Treasure Trove Act 1962,6,0,0,0
673,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,20,1,2,0
674,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0,0,0,0
675,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Other Local Acts,172,13,7,19
676,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,The Karnataka Micro Loan And Small Loan (Prevention of Coercive Actions) Ordinance 2025,21,0,1,2
677,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Information Technology Act 2000, 2009",130,24,6,11
678,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),CSAM (Child Pornography). Cyber Tip Line,37,0,2,10
679,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Online Money Transfer,1564,90,163,139
680,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Credit Card Fraud,780,89,75,78
681,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Loan App,210,19,15,20
682,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Ransomeware Attack, Installing Spyware & Troman, Using Other Malware & Viruses to infect degital serv",10,0,0,0
683,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Gifts, iPhone & Lottery Fraud",130,23,7,12
684,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Deep Fake/Deep Nudes,41,1,7,8
685,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Investment Fraud (Part Time Job, Task, Review)",2666,304,183,185
686,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Card Skimming,6,0,0,0
687,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Job Fraud,643,67,41,53
688,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Business Fraud,165,17,14,19
689,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Hacking of Accounts & Ids,228,15,27,12
690,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Phishing (Taking Password & Information),50,6,7,5
691,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Email Spoofing / Fraud,49,2,5,4
692,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),SIM card Swapping / SIM Jacking / SIM Cloning,22,2,3,2
693,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Social Media Cases (Instagram/Facebook/Whatsapp/X /Telegram etc),566,28,42,54
694,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Crypto Currency, Bitcoin, etc.",73,11,8,4
695,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Remote Access Fraud  (Any Desk/ Team Viewer),10,1,0,0
696,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),OLX Fraud,187,19,11,19
697,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Data Theft,67,7,5,11
698,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Fedex,30,34,0,1
699,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"OTP Frauds (KYC Update, Apk Link)",944,99,97,123
700,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Matrimony Fraud,115,6,7,9
701,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Sextortion and Revenge Porn,104,8,5,11
702,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Advertising Frauds,68,9,7,9
703,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Investment Fraud (Trading & Share Trading),3489,274,266,312
704,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Fake Customer Care,325,37,32,25
705,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),ATM Fraud,19,0,3,1
706,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Digital Arrest,346,134,29,40
707,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),AEPS (Aadhaar),3,1,0,0
708,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Others ,1808,198,119,109
709,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,NA,0,0,0,0
710,B - SPECIAL & LOCAL LAWS,POCSO,Gang Rape,16,0,2,2
711,B - SPECIAL & LOCAL LAWS,POCSO,Custodial Rape,1,1,0,0
712,B - SPECIAL & LOCAL LAWS,POCSO,Rape with Murder,2,0,0,0
713,B - SPECIAL & LOCAL LAWS,POCSO,Rape,3288,254,265,268
714,B - SPECIAL & LOCAL LAWS,POCSO,Others ,1248,91,104,118
715,B - SPECIAL & LOCAL LAWS,Aadhar Act,Impersonation,0,0,0,0
716,B - SPECIAL & LOCAL LAWS,Aadhar Act,Offence by Individual,1,0,0,0
717,B - SPECIAL & LOCAL LAWS,Aadhar Act,Offence by Company,0,0,0,0
718,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.1  Custodial Rape,0,0,0,0
719,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.2  Gang Rape,16,0,2,1
720,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.3  other Cases of Rape,640,55,43,40
721,C. CRIMES AGAINST WOMEN,Outraging modesty (Molestation) (sec.354 IPC),NA,5840,425,464,521
722,C. CRIMES AGAINST WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),NA,124,7,10,11
723,C. CRIMES AGAINST WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,403,21,30,43
724,C. CRIMES AGAINST WOMEN,Murder for Dowry - by burning (Sec.302 IPC),NA,1,0,0,0
725,C. CRIMES AGAINST WOMEN,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,7,0,0,3
726,C. CRIMES AGAINST WOMEN,Murder for other reasons,NA,372,32,28,25
727,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,2,0,0,0
728,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,20,1,3,2
729,C. CRIMES AGAINST WOMEN,Attempt to Commit murder for other reasons,NA,978,50,80,80
730,C. CRIMES AGAINST WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)",NA,1,0,0,0
731,C. CRIMES AGAINST WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),NA,115,6,11,8
732,C. CRIMES AGAINST WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,2830,207,250,237
733,C. CRIMES AGAINST WOMEN,Abetment of Suicide (Sec.306 IPC),NA,181,10,16,15
734,C. CRIMES AGAINST WOMEN,Immoral Traffic (prevention) Act.,NA,316,19,26,18
735,C. CRIMES AGAINST WOMEN,Indecent Representation of Women(Prohibition) Act-1986,NA,1,0,0,0
736,C. CRIMES AGAINST WOMEN,Pornography,NA,4,0,0,2
737,C. CRIMES AGAINST WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,146,8,9,12
738,C. CRIMES AGAINST WOMEN,Offences related to Marriage,NA,28,4,2,1
739,C. CRIMES AGAINST WOMEN,Cyber Crimes,NA,4345,531,310,322
740,D.CRIME AGAINST CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",NA,5,0,0,0
741,D.CRIME AGAINST CHILDREN,Rape on Minor,NA,0,0,0,0
742,D.CRIME AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),NA,65,8,3,6
743,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,NA,3886,283,372,380
744,D.CRIME AGAINST CHILDREN,For Ransom - of Children,NA,8,1,1,1
745,D.CRIME AGAINST CHILDREN,of Children - for begging,NA,0,0,0,0
746,D.CRIME AGAINST CHILDREN,of Girls - Immoral Purpose,NA,0,0,0,0
747,D.CRIME AGAINST CHILDREN,With intent to Steal from Child,NA,0,0,0,0
748,D.CRIME AGAINST CHILDREN,Lawful Guardianship,NA,4,0,2,0
749,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Prostitution,NA,1,0,1,0
750,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - Importing of Girl,NA,0,0,0,0
751,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Other Purposes,NA,15,1,2,1
752,D.CRIME AGAINST CHILDREN,Sub Total ,NA,3914,285,378,382
753,D.CRIME AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),NA,0,0,0,0
754,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,197,10,10,17
755,D.CRIME AGAINST CHILDREN,POCSO Act,NA,4555,346,371,388
756,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,NA,15,1,0,0
757,D.CRIME AGAINST CHILDREN,Juvenile Justice Act,NA,151,15,12,19
758,D.CRIME AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,78,3,8,1
759,D.CRIME AGAINST CHILDREN,Probation of Offenders Act,NA,0,0,0,0
760,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Murder,NA,94,11,7,8
761,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Rape,NA,113,11,4,5
762,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Kidnapping,NA,182,14,15,9
763,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the Protection of Civil Rights Act.,NA,9,0,1,1
764,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),NA,2013,129,198,222
